SEP,Type,SBOL Version,Status,Issue,Title,Replaces,Created,Last modified,Editor,Authors
001,Procedure,,Active,https://github.com/SynBioDex/SEPs/issues/1,SBOL Enhancement Proposals,,05-Oct-2015,30-Dec-2018,Raik Grünberg,"Raik Grünberg (raik.gruenberg at gmail com), Bryan Bartley (bartleyba at sbolstandard org)"
003,Procedure,,Final,https://github.com/SynBioDex/SEPs/issues/3,SBOL Governance Update,,13-Oct-2015,15-Oct-2015,,Jacob Beal (jakebeal@bbn.com)
004,Data Model,2.1.0,Accepted,https://github.com/SynBioDex/SEPs/issues/4,Add contextual role properties to SequenceAnnotation and Component,,10-Oct-2015,16-Aug-2016,Bryan Bartley,"Mike Bissell (bissell at amyris.com), Chris Macklin (macklin at amyris.com), Raik Gruenberg (raik dot gruenberg at gmail)"
005,Process,,Final,https://github.com/SynBioDex/SEPs/issues/5,SBOL voting procedure,,24-Jan-2016,02-Feb-2016,Raik Gruenberg,Raik Gruenberg
007,Data Model,2.2,Accepted,https://github.com/SynBioDex/SEPs/issues/21,Combinatorial Design,,19-Aug-2016,12-Sep-2017,Raik Gruenberg,"Matthew Pocock, Jacob Beal, Nicholas Roehner (nicholasroehner@gmail.com)"
008,Data Model,2.2,Deferred,https://github.com/SynBioDex/SEPs/issues/23,Specify DNA / RNA topology,,03-Sep-2016,22-Oct-2016,Raik Gruenberg,Raik Gruenberg (raik.gruenberg at gmail com)
009,Data Model,2,Accepted,https://github.com/SynBioDex/SEPs/issues/24,SBOL Provenance,,20-Sep-2016,,James Alastair McLaughlin (j.a.mclaughlin@ncl.ac.uk),"Matthew Pocock (turingatemyhamster@gmail.com), James Alastair McLaughlin (j.a.mclaughlin@ncl.ac.uk), Goksel Misirli (goksel.misirli@ncl.ac.uk), Owen Gilfellon (o.gilfellon@ncl.ac.uk), Anil Wipat (anil.wipat@ncl.ac.uk)"
010,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/25,simplify description of sequence features and sub-parts,,20-Sep-2016,31-Aug-2019,James McLaughlin,Raik Gruenberg <raik.gruenberg at gmail com>
011,Data Model,2.1,Accepted,https://github.com/SynBioDex/SEPs/issues/26,Specify DNA / RNA topology with type fields,,22-Oct-2016,,Raik Gruenberg,Raik Gruenberg (raik.gruenberg at gmail com)
012,Data Model,2.1,Accepted,https://github.com/SynBioDex/SEPs/issues/27,Any cardinality for Identified.wasDerivedFrom,n/a,14-Dec-2016,First submission,,Jacob Beal (jakebeal@gmail.com)
013,Data Model,2.3,Complete,https://github.com/SynBioDex/SEPs/issues/28,Sequence insertion and replacement,,17-Jan-2017,27-Jan-2017,,"Jacob Beal (jakebeal@gmail.com), Raik Gruenberg"
014,Data Model,2.3,"Withdrawn, Replaced by SEP 019",https://github.com/SynBioDex/SEPs/issues/31,Using SBOL to Model the Design-Build-Test Cycle,,20-Jun-2017,19-Jul-2017,,"Bryan Bartley (bartleyba@sbolstandard.org), Ali Humphries, James McLaughlin, Goksel Misirli, Matthew Pocock, James Skelton, Angel Goni-Moreno, Chris Myers, Jake Beal, and Anil Wipat"
015,Data Model,3.0,Accepted,https://github.com/SynBioDex/SEPs/issues/32,Simplification of SBOL class names,,28-Jun-2017,26-Dev-2019,,James Alastair McLaughlin (j.a.mclaughlin@ncl.ac.uk); Raik Grünberg (raik.gruenberg@gmail.com)
016,Data Model,2.3,"Withdrawn, replaced by SEP 20",https://github.com/SynBioDex/SEPs/issues/35,Experimental implementations and replicates,SEP 014,04-Sep-2017,07-Nov-2017,,Raik Gruenberg (raik.gruenberg at gmail com)
017,Data Model,2.3,Withdrawn,https://github.com/SynBioDex/SEPs/issues/38,SEP 017 -- Implementation,N/A,10-Nov-2017,13-Nov-2017,Nicholas Roehner (nicholasroehner@gmail.com),"Bryan Bartley (bartleyba@sbolstandard.org), Jake Beal (jakebeal@gmail.com), Raik Gruenberg (raik.gruenberg@gmail.com), Chris Myers (myers@ece.utah.edu), Nicholas Roehner (nicholasroehner@gmail.com), and Anil Wipat (anil.wipat@newcastle.ac.uk)"
018,Data Model,2.2,Accepted,https://github.com/SynBioDex/SEPs/issues/39,Data Attachments,,13-Sep-2017,13-Nov-2017,Nicholas Roehner (nicholasroehner@gmail.com),"Bryan Bartley (bartleyba@sbolstandard.org), Chris Myers (myers@ece.utah.edu), Nicholas Roehner (nicholasroehner@gmail.com), and SBOL Developers (authors, please opt in)"
019,Data Model,2.3,Accepted,https://github.com/SynBioDex/SEPs/issues/43,SEP 019 -- Using SBOL to model the Design-Build-Test-Learn Cycle,"SEP 014, SEP 016, SEP 017, SEP 018",10-Nov-2017,11-Dec-2017,Nicholas Roehner (nicholasroehner@gmail.com),"Bryan Bartley (bartleyba@sbolstandard.org), Jake Beal (jakebeal@gmail.com), Raik Gruenberg (raik.gruenberg@gmail.com), James McLaughlin (j.a.mclaughlin@newcastle.ac.uk), Chris Myers (myers@ece.utah.edu), Nicholas Roehner (nicholasroehner@gmail.com), and Anil Wipat (anil.wipat@newcastle.ac.uk)"
020,Data Model,2.3,Draft,https://github.com/SynBioDex/SEPs/issues/47,SEP 020 -- Linking experimental results with Biological clones and replicates,"SEP 014, SEP 016, SEP 017, SEP 019",09-Dec-2017,02-Nov-2017,Nicholas Roehner (nicholasroehner@gmail.com),Raik Gruenberg (raik.gruenberg@gmail.com)
021,Data Model,2.3,Complete,https://github.com/SynBioDex/SEPs/issues/50,SEP 021 -- Experiments and Experimental Data,N/A,21-Feb-2018,18-Sep-2018,Curtis Madsen (ckmadsen@bu.edu),"Nicholas Roehner (nicholasroehner@gmail.com), Jake Beal (jakebeal@gmail.com)"
022,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/54,Rename displayId to id,,19-Jun-2018,19-Jun-2018,,James Alastair McLaughlin (j.a.mclaughlin@ncl.ac.uk); Christian Atallah (c.atallah2@ncl.ac.uk); Bradley Brown (b.bradley2@ncl.ac.uk); Anil Wipat (anil.wipat@ncl.ac.uk)
023,Data Model,2.3,*Revoked*,https://github.com/SynBioDex/SEPs/issues/55,Add a best practice to associate at most one sequence with a ComponentDefinition,,19-Jun-2018,19-Jun-2018,,James Alastair McLaughlin (j.a.mclaughlin@ncl.ac.uk); Chris Myers (myers@ece.utah.edu)
024,Data Model,2.3.1 / 2.4,Accepted,https://github.com/SynBioDex/SEPs/issues/57,Best practices for host context / ontologies for experiments,,3-Jul-2018,8-Apr-2018,"Curtis Madsen, Pedro Fontanarrosa","Jacob Beal (jakebeal@ieee.org), Nicholas Roehner (nicholas.roehner@raytheon.com), Bryan Bartley (bryan.a.bartley@raytheon.com), and Chris Myers (myers@ece.utah.edu)"
025,Data Model,3,Draft,https://github.com/SynBioDex/SEPs/issues/38,Merge ComponentDefinition and ModuleDefinition,,21-Jun-2018,21-Jun-2018,,James Alastair McLaughlin (j.a.mclaughlin@ncl.ac.uk); Chris Myers (myers@ece.utah.edu)
026,Data Model,2.3,Complete,https://github.com/SynBioDex/SEPs/issues/59,Add a link from Location to Sequence,,21-Jun-2018,03-Sep-2018,Zach Palchick,James Alastair McLaughlin (j.a.mclaughlin@ncl.ac.uk); Chris Myers (myers@ece.utah.edu)
027,<Data Model>,<2.3.0>,Complete,https://github.com/SynBioDex/SEPs/issues/25,"Adding a ""type"" field to Activity class",,20-Jun-2018,20-Jun-2018,Curtis Madsen (ckmadsen@bu.edu),"Ernst Oberortner (e.oberortner@gmail.com), Bryan Bartley (bartleyba@sbolstandard.org)"
028,Data Model,2.3,Complete,https://github.com/SynBioDex/SEPs/issues/62,Measurements/Parameters and Units,,3-Jul-2018,22-Oct-2018,Curtis Madsen (ckmadsen@bu.edu),Jacob Beal (jakebeal@ieee.org) and Nicholas Roehner (nicholas.roehner@raytheon.com)
029,Procedure,,Final,https://github.com/SynBioDex/SEPs/issues/64,Update to issue procedure for SEPs,,17-Oct-2018,17-Oct-2018,Zach Palchick,James Alastair McLaughlin (j.a.mclaughlin@ncl.ac.uk)
030,Data Model,2.4,Accepted,https://github.com/SynBioDex/SEPs/issues/89,Best Practices for Multicellular System Designs,,06-Nov-2018,06-Nov-2018,,"Bradley Brown, Christian Atallah, James Alastair McLaughlin, Göksel Misirli, Ángel Goñi-Moreno, Nicholas Roehner, David James Skelton, Bryan Bartley, Jacob Beal, Chueh Loo Poh, Irina Dana Ofiteru, and Anil Wipat"
031,Procedure,,Draft,https://github.com/SynBioDex/SEPs/issues/67,SBOL Industrial Consortium,,14-Nov-2018,14-Nov-2018,TBD,"Jacob Beal, Kevin Clancy"
032,Data Model,3,Draft,https://github.com/SynBioDex/SEPs/issues/74,Do not rename ontologically defined predicates,,07-Dec-2019,07-Dec-2019,Hasan Baig,James Alastair McLaughlin (james@mclgh.net)
033,Data Model,,Draft,https://github.com/SynBioDex/SEPs/issues/77,Concrete descriptions of biopolymers,,20-Jun-2019,15-Jul-2019,[Vishwesh Kulkarni](mailto:V.kulkarni@warwick.ac.uk),[Jonathan Karr](mailto:karr@mssm.edu)
034,Data Model,2.4,Revoked in favour of SEP 037,https://github.com/SynBioDex/SEPs/issues/79,Relax rules on interaction participant ownership,,8-Jul-2019,8-Jul-2019,,James Alastair McLaughlin (j.a.mclaughlin@ncl.ac.uk); Bradley Brown (b.bradley2@ncl.ac.uk)
